author,rating,sentiment_label,date,comment
Tüm Arnaud,1,negatif,il y a un mois,"Le marketing de l’école est incroyable et m’a vendu beaucoup de rêves, les pubs que j’ai pu voir étaient toutes conformes à mes attentes et j’ai cru enfin trouver un projet post-bac intéressant. Seulement quand j’ai fouillé le site Web les formations tournées autour de la 3D et de la création, j’ai vu que tout était axé autour de l’IA, IA par-ci,  IA par-là et du pouvoir extraordinaire. En étant clair, cette école crache sur le dos des artistes et les insultes avec des formations beaucoup trop chères pour le peu qu’elles proposent. Être artiste c’est apprendre à animer, modéliser et créer sans tricherie, être un artiste IA, ce n’est pas être artiste."
François Buffard,5,positif,il y a 2 mois,"Une excellente école, bien organisée. Le campus est très moderne. Il est agréable pour y travailler ou échanger avec les formateurs et étudiants. Le suivi des étudiants est sérieux et pro-actif, notamment dans la recherche d'alternance."
aJia,5,positif,il y a une semaine,"Super école qui donne envie de travailler, équipe pédagogique nickel. Une ambiance sur le campus très agréable, l’école favorise vraiment le partage entre élève et entre filière, ce qui est un vrai plus pour l’apprentissage"
bastien exposito,5,positif,il y a une semaine,"École professionnalisante, l’équipe pédagogique est proche de ses élèves, nos retours sont pris en compte. Un campus neuf et des salles adaptés à nos besoins."
nicolas Perrot (Niioclas),1,negatif,il y a 3 mois,"École à fuir, très chère pour pas grand chose.

Pré inscription à 750 euros et minimum 7k l'année d'études si ce n'est plus maintenant.

Un diplôme pas reconnu par l'État et un suivis pédagogique inexistant qui, pour seule aide à la recherche de stage ou d'alternance, programme 2h dans toute l'année pour faire un CV !

En résumé, un établissement vide de moral et de pédagogie."
Jasim Mejai,1,negatif,il y a 4 mois,"Franchement, mon expérience dans cette école a été catastrophique. Dès le début, j’ai dû faire face à une maladie sérieuse qui m’a énormément compliqué la vie. Malgré un certificat médical clair, l’école n’a rien fait pour me soutenir vraiment. Ils ont préféré gérer ça à leur manière, sans tenir compte de ma situation réelle.

L’organisation est un vrai chaos : changement de filière sans prévenir, fusion de deux filières différentes sans explication, et tout ça sans jamais informer les étudiants. Résultat ? Une perte de temps énorme et un stress inutile.

Les cours ? Un véritable calvaire. Les profs se contentent de lire bêtement leurs pages Word, sans passion ni pédagogie. Et quand on essaie d’avancer sur nos projets pendant les cours, ils râlent parce qu’on utilise nos ordis. C’est à se demander s’ils veulent vraiment qu’on progresse. Ceux qui essaient d’être bons dans leur enseignement se font vite remarquer… en négatif. Tout est toujours de la faute des élèves, jamais un vrai effort de leur part pour améliorer les choses.

L’alternance, parlons-en : on nous vend du rêve, mais en vrai, tu te débrouilles tout seul. Le soutien se limite à t’aider à faire un CV basique, et encore. Pas un seul contact sérieux avec des entreprises. On dirait qu’ils préfèrent vendre leur marketing plutôt que d’aider vraiment les étudiants.

Cerise sur le gâteau : on te balance des évaluations surprise après la fin des cours, sans prévenir, avec zéro rattrapage. Résultat : des notes à zéro sans raison valable. C’est non seulement injuste, mais totalement irrespectueux envers les étudiants.

En résumé, cette école est une énorme déception. Manque de sérieux, absence d’accompagnement réel, désorganisation totale. Je conseille vivement de fuir cette école avant de perdre temps et énergie."
Zehra Sert,5,positif,il y a 5 mois,"J'ai effectué mon stage chez ynov campus dans le domaine d'architecture d'intérieur et très franchement c'était le meilleur stage que j'ai effectué jusqu'à maintenant. L'ambiance était très bien, et l'environnement très calme et conviviale. Les cours quant à elles étaient détaillés et m'a permis d'apprendre beaucoup de choses notamment les dessins en perspective, les plans, les maquettes,ect... J'ai adoré ma semaine de stage et recommande sincerement.
Merci à toutes les personnes qui m'ont accompagné sur toute la semaine, c'était trop bien😊."
Thominou 69,5,positif,il y a une semaine,"Pour la filière « Création & Digital Design » : les avis indiquent « profs à l’écoute, de bons conseils, et vraiment experts de leurs sujets"
Ambre S.,5,positif,il y a une semaine,super école super ambiance accueillante plein de petits aménagements pour les étudiants !! on kiff
Its_me,5,positif,il y a 5 mois,"J’y étais en tant que stagiaire , bonne expérience, le projet prévu durant le stage était très intéressant . On avait de bonnes horaires et le lieu est tres convivial"
Franck DIETMANN,5,positif,il y a un an,"La Matériauthèque Campus au sein de Lyon Ynov Campus ! Un beau partenariat entre une équipe dynamique et engagée et Matériaux.archi, qui a à coeur de transmettre sur les matériaux innovants et bas carbone !"
IlhemSudio !!!,5,positif,il y a une semaine,Ils sont gentils ! L’ambiance est incroyable ( svp les pop corn 🍿) …
pierre biron,1,negatif,il y a 10 mois,"Une école à éviter. Ils sont meilleurs en marketing qu'en éducation. Il n'y a aucun suivi des cours de la part de l'école ; nous sommes laissés à nous-mêmes dans des ateliers qui ressemblent plus à une séance de garderie, et l'école n'a aucune idée du contenu pédagogique enseigné aux élèves. Par exemple, nous avons étudié pendant 5 mois l'impact de l'éclairage nocturne sur les espèces diurnes, alors que nous étions censés faire du webdesign. De plus, l'école a jugé bon de changer le programme au cours de notre mastère, supprimant ainsi les options pour lesquelles beaucoup d'entre nous avions signé."
Tom GASPAR GOMEZ,5,positif,il y a 2 mois,"Enseignement supérieur qui vaux le coup, première année dans cette école et je m’éclate beaucoup dans ma filière 3D jeu vidéo."
Laurent Darmal,1,negatif,il y a 2 mois,"N'allez pas dans ces écoles, ne gâchez pas votre argent dans des formations incomplètes, formez-vous chez vous avec des tuto sur le net mais n'allez pas dans ces écoles, vous me remercierez plus tard"
Logan Baesso Rodriguez,4,positif,il y a un an,"Très bonne école avec un programme constructif et adapter à mon projet professionnel, les intervenant sont bons dans l'ensemble sauf certains qui ne sont pas suffisamment pédagogue. Les locaux sont propres et accueillant. Seulement parfois l’organisation au niveau de l’emploi du temps un peu chaotique."
Tessa Hart de keating,5,positif,il y a un an,"Je cherchais une école avec des cours et des intervenants dynamiques avec qui je pourrais compléter mes études avec plaisir et épanouissement. Et bien c'est largement réussi ! L'équipe d'ynov est à l'écoute de nos besoin et fait toujours de son mieux pour nous aider. On est super bien encadré pour la rechercher de stage et alternance, les cours sont tous passionnants et les examens sont pertinents. Ça m'étonnerait que vous trouviez mieux ailleurs ;)"
Vicky Mourin,5,positif,il y a 2 mois,"Super école , de bons apprenant !
Très bonne ambiance et bien veillante"
Unelma Production,4,positif,il y a 8 mois,"J'ai suivi la formation audiovisuelle à Ynov et je suis ravi ! Les cours sont menés par des intervenants qualifiés (sauf un, mais je ne dirai pas qui ^^). La pédagogie est à l'écoute, même s'il y a deux ou trois petits points à revoir, mais ça évolue dans le bon sens.

En reconversion professionnelle, j'ai découvert un cadre d'étude vraiment top, qui m'a permis de progresser et de m'épanouir. Je remercie Ynov pour ces années, le cadre et les nombreuses possibilités qui m'ont été offertes. 🙂"
KARXKI,5,positif,il y a une semaine,"Nathan le mec en com la il est trop gentil , sympathique et grand ."
Hugo VAN MEER,5,positif,il y a 10 mois,"J'ai obtenu mon Bachelor Marketing & Communication en 2022 à Lyon Ynov Campus, et même après l'obtention de mon diplôme, l'école continue de maintenir un lien précieux avec ses anciens étudiants. Elle développe un réseau alumni et met en place des initiatives comme le mentorat et un job board, offrant un véritable soutien pour découvrir des métiers et faciliter l'insertion professionnelle. Une belle initiative pour enrichir le réseau professionnel des étudiants et alumni."
Gally M.,4,positif,il y a un an,"Mon expérience au Lyon Ynov Campus est globalement positive. Les intervenants sont compétents et dévoués, ce qui enrichit considérablement l'apprentissage. Cependant, en tant que première année, j'ai parfois trouvé certains programmes un peu flous et peut-être moins pertinents. Néanmoins, l'ambiance au sein de l'école est excellente et le suivi pédagogique est satisfaisant, même si le coût élevé des frais de scolarité peut être pris en compte. En résumé, c'est un bon établissement avec des aspects à améliorer, mais qui offre une expérience d'apprentissage enrichissante :)"
Lina Bonnet,1,negatif,il y a un an,"Faire mes études dans cette école était très éprouvant, non seulement pour la difficulté des cours, mais aussi pour son organisation.

Les élèves sont livrés à eux-mêmes sur trop de points, et l'administration ne fait pas d'efforts pour y remédier notamment au niveau des interventions professionnelles ou des aides pour trouver un stage, comme une alternance qui se limite à 3 cours pour faire un CV et des événements de rencontre avec des professionnelles annulés.

De l'argent très mal investi, à fuir de toute urgence."
Ludivine goirand,5,positif,il y a une semaine,"Un super campus, une bonne ambiance et un bon accompagnement"
Guillaume Autret,5,positif,il y a un mois,Super accueil. Une école qui a de l'avenir !
L.K,1,negatif,il y a un an,"Un service pédagogique médiocre, beaucoup de promesses non tenues, une gestion catastrophique.

Si vous avez l'intention de perdre de l'argent, optez pour cette école. Elle vous promettra plusieurs contacts avec des entreprises et des professionnels, pour finalement vous présenter  personne.

Pour pouvoir suivre certains cours, l'école nous contraint à pirater des logiciels.

Ils se fichent tellement de la filière qu'il a fallu les relancer au moins 5 fois juste pour obtenir les notes de fin d'années. Pour le diplome c'est 6 mois plus tard .
Pour les élèves qui veulent faire de la 3D, je déconseille totalement . Elle ne recherche que votre argent et s'en fiche totalement du reste."
Angel,5,positif,il y a un an,"Le campus est super bien conçu, avec des espaces parfaits pour travailler ou discuter. C’est vraiment un lieu agréable qui booste la productivité. Et en plus, l’équipe de la com prépare d'excellents cafés !"
Isild Guernigou,5,positif,il y a un an,"École professionnalisante, l’équipe pédagogique est proche de ses élèves, nos retours sont pris en compte. Un campus neuf et des salles adaptés à nos besoins. Merci ynov de nous emmener si loin et nous prendre au sérieux en tant qu’étudiant."
Lily Demarle,5,positif,il y a un an,"Je suis étudiante au sein de Lyon ynov campus depuis 2 ans maintenant en architecture d'intérieur. Je suis très satisfaite de ce qu'on apprend et nous avons des intervenants, en règle général, super. Dès que nous avons un problème avec les horaires ou les intervenants ils sont très à l'écoute et pensent à notre bien être. Je recommande vivement."
Pauline Raimbault,5,positif,il y a un an,"Les cours sont variés et axés sur la pratique. Un choix intéressant pour ceux qui veulent se former dans des domaines technologiques ou créatifs. Pour en savoir plus, je recommande d’aller aux portes ouvertes du campus."
Ninie Deborah,1,negatif,il y a un an,"Si je pouvais mettre une note de zéro je le ferais ... mon fils a trouvé son alternance fin août pour débuter un BTS CIEL à la rentrée avec Ynov (il avait été accepté et inscrit en mai) et on lui annonce finalement fin aôut qu'il ne pourra pas étudier cette année car la le BTS ciel ne sera finalement pas ouvert ... il était suivi par Ynov dans le cadre de sa recherche d'alternance jusque 5 jours avant cette annonce ! incroyable et tellement dur ... même pas de proposition de replacement dans d'autres établissements ... il a un employeur et pas d'école !!! l'année dernière il avait une formation et pas d'employeur avec un autre organisme ... c'est impensable de laisser les jeunes en errance comme ça fin aôut ... nous avons contacté d'autres établissements aucun ne peut l'accueillir trop tard, effectif plein ... alors recommander Ynov non pas du tout !!"
corinne pinto ribeiro,1,negatif,il y a un an,"Extrêmement déçue, l'option architecture, récemment ouverte, est une catastrophe. Aucune organisation, aucun suivi. Ma fille a abandonné en fin d'année et ils vous obligent à payer la totalité. Je vous conseille plutôt d'aller à celui de Bordeaux!!!!"
Leah Roy,5,positif,il y a un an,"Ynov est une super école pour l’échange entre élève et le partage de connaissances. Les élèves sont bien accompagnés par l’équipe pédagogique.
Campus qui donne envie de travailler."
Yellowstone (“Marc”),5,positif,Modifié il y a 6 mois,"J'ai rejoins Ynov après avoir été déçu de ma précédente école (une grosse école d'informatique que je ne citerai pas). Quelle délivrance quand j'ai découvert Ynov ! Les cours, les intervenants, la liberté que nous avons à créer de véritables projets, sans parler de l'accompagnement pour l'alternance qui m'a suivi tout au long de mon parcours et ce jusqu'à ma sortie d'étude (septembre dernier).
Bref, je vous le dis avec le coeur, choisir Ynov c'est surement le meilleur choix que vous pouvez faire pour vous lancer dans le monde professionnel.
Petit coucou au passage à toute l'équipe Ynov qui verront ce commentaire ;)
Au plaisir de tous vous revoir :)"
terneshugo,5,positif,il y a 11 mois,"Je me suis inscrit en 2019 à LYC après avoir fait des études en journalisme et en communication sociales au Canada.
Je cherchais dans compétences techniques générales dans la vidéo, lumière et son (chose que l’on apprend pas en journalisme), et Ynov a totalement répondu à mes attentes.
En 3 ans, je sais écrire, produire, tourner, monter et vendre une vidéo professionnelle.
En matériel audiovisuel, le parc est très optimal ! Sony A7III, Blackmagic 6K et FX6. Forza 60, 300, 500. Kit son de base.
Les projets sont divers et variés donc ça prépare totalement au marché du travail.
J’en garde que des bons souvenirs."
ludie Soleilhac,1,negatif,il y a un mois,"Vous vend du rêve...
Juste bon à prendre du fric.
A fuir!"
Théo BARRAL,5,positif,il y a un an,"En tant qu'étudiant de la filière Architecture d'intérieur & Bâtiment numérique à Lyon Ynov Campus, je suis très satisfait de ma formation jusqu'à présent. L'école offre un environnement d'apprentissage propice au développement de nos compétences techniques et de notre créativité.

Nos intervenants sont des professionnels, qui exercent notre futur métier ou un métier connexe au nôtre (architecte, designer, graphiste, etc.). Les quelques cours théoriques et les nombreux projets pratiques sont précieux pour notre progression dans notre parcours professionnel et pour préparer notre future carrière.

De plus, la vie étudiante au sein du campus est très présente, grâce au BDE (bureau des étudiants), au BDS (bureau des sports) et aux ambassadeurs de l'école. Les événements organisés par l'école sont également très enrichissants, nous permettant de rencontrer des professionnels du secteur et d'élargir notre réseau.

En résumé, je recommande vivement Lyon Ynov Campus et ses 8 filières (Architecture d'intérieur & Bâtiment numérique ; Création & Digital Design ; Marketing & Communication digitale ; Tech & Business ; Informatique ; Cybersécurité ; 3D, Animation & Jeux Vidéo ; Audiovisuel)."
Nacim,4,positif,il y a 2 ans,"Ynov est une école pluridisciplinaire exceptionnelle offrant une variété de formations. Ayant suivi le cursus en informatique (dont j'ai fini major de promo), j'ai été particulièrement impressionné par la qualité des enseignants, experts dans leur domaine, et par la diversité des matières abordées. La gestion des absences pourrait cependant être améliorée pour optimiser la coordination, j'ai trouvé ça très contraignant la limite à 5 absence maximale pour valider son année. Une expérience globalement enrichissante et formatrice."
Etienne F.,5,positif,il y a 8 ans,Très bonne bonne école pour les personnes qui souhaitent monter leur propre entreprise. L'ambiance générale de l'école est très dynamique ce qui offre beaucoup d'opportunités. Les intervenants offre pour la majorité une bonne qualité de formation accompagné de cas pratiques très intéressants. Je recommande !
Guillaume Jouvencel,5,positif,il y a un an,"Suite à une reprise d’études j’ai eu la chance de réaliser mes deux dernières années chez Ynov pour valider un bac +5 en alternance dans les métiers de l’IT.
Le libre choix des cours et des matières m’ont permis d’affiner mon orientation au long de ces deux ans.
Les ydays, journées pendant lesquelles des projets sont menés en autonomie par des groupes d’élèves, m’ont permis d’explorer des secteurs d’activités pour lesquels je n’avais pas ou peu d’expérience (audiovisuel, marketing).
J’ai eu l’occasion de visiter le nouveau campus de Perrache… j’aurais aimé en profiter sur ma période d’études, des salles très modernes, du matériel de qualité et un cadre idéal.
Je finirais sur les équipes administratives et pédagogiques qui sont au top et toujours prêtes à rendre service si l’on fait preuve d’engagement et de bonne volonté."
Nathan,5,positif,il y a un an,"Superbe école, sortant d'une faculté publique, je n'espérais pas trouver autant de contenu formateurs et enrichissant. L'environnement est parfaitement propice à l'épanouissement personnel et professionnel."
Da Yann,1,negatif,il y a 3 mois,"Ludovic Laval tient des propos grossophobes et validistes.
Rien de friendly ici"
Sacha Pierre,5,positif,il y a un an,Je suis actuellement étudiant au sein de Lyon Ynov Campus. J'ai le plaisir de commencer mon année de mastère avec une alternance grâce au service relations entreprises ! Un grand merci pour leur réactivité et leur présence tout au long de ma recherche d'alternance. Je tiens particulièrement à remercier Amélie Chabrier et Santal Dang pour leur précieux soutien tout au long des démarches administratives et des négociations.
Pikacolaa,5,positif,il y a un an,"Je recommande fortement notre école si vous êtes en quête d'un enseignement qui priorise la pratique à la théorie. Pas de cours magistraux à n'en plus finir, il y a constamment des projets qui mettent en situation réelle dès la première année afin de pouvoir remplir notre portfolio / book etc. Nous sommes accompagnés quoi qu'il arrive, nos professeurs sont des intervenants qui viennent nous enseigner leur savoir et qui constituent un carnet d'adresse pour nos stages et notre embauche.

En bref, je recommande complètement, je suis en première année d'architecture d'intérieur et j'aime ma vie d'étudiante à Ynov."
Iliana Fuentes,4,positif,il y a 2 ans,"Je suis actuellement en B1 audiovisuel, les points positifs de cette école est que les intervenants sont toujours à notre écoute et nous donnes beaucoup de conseils que ce soit pour nos projets prévu dans l'année ou nos projets personnels. Les cours sont intéressants, on ne voit pas les 4h passés. Leur méthode de justification des absences est un des seuls point négatif."
Léo audiger,1,negatif,il y a 2 ans,"Après 3 ans d'étude en animation 3D, je regrette d'avoir choisis cette école qui est bien trop chère pour le service proposé. En cours de ma 3ème année j'ai eu des soucis avec ma chef de projet et plutôt que de m'aider à régler le problème ou trouver des solutions ils m'ont simplement dit de prendre sur moi ou je ne validerai pas mon année. Résultat je me suis séparer de mon groupe et j'ai tenter de faire mon projet. Au lieu de me soutenir, l'école m'a enfoncer lors de l'oral de fin d'année, je n'ai jamais reçu les résultats de mon année et donc j'ai dû les appelé pour les avoirs. Je n'ai pas eu mon diplôme et je n'ai pas non plus eu de proposition de redoubler. Je vous déconseille cette école qui n'aide pas les élèves en difficulté."
Casandra Ourziq,5,positif,il y a un an,"Actuellement étudiante au campus Ynov Lyon, je suis épanouie.
Le personnel et les intervenants sont accueillant et agréable. Bonne école je recommande"
Stéphane Kittler,5,positif,il y a un an,Je suis intervenant ....locaux de grande qualité...suivi des élèves sérieux....contrôles qualité des cours crédible....avec un tel marécage de centres de formation bidons ça fait du bien de voir que les élèves bénéficient d une formation de qualité
